BEDRIJF,PROVINCIE,WEBSITE,TELEFOON,EMAIL,CONTACTPERSOON,FUNCTIE,BATTERIJ_ERVARING,DEYE_KENNIS,WARMTE,BRON,NOTITIES,DATUM
DCN Duurzaam,Friesland (FR),dcnduurzaam.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij,NIET,MIDDEL-WARM,Google thuisbatterij Friesland,Midden-Friesland en omstreken (Groningen/Drenthe/Flevoland) - Thuisbatterij Scan gratis - potentieel voor FR/FL/GN/DR dekking,2026-03-22
Thuisbatterij-installateur.nl,Nederland (landelijk),thuisbatterij-installateur.nl,0853332453,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij + installatie,NIET,WARM-MIDDEL,Google thuisbatterij installateur,Gelderland focus maar landelijke dekking - Barneveld vestiging - EcoHandel.nl wordt ook vermeld als specialist! - aggregator met directe contactgegevens,2026-03-22
e-WNDR B.V.,Spijkenisse (ZH),e-wndr.nl,085 822 77 23,info@e-wndr.nl,ONBEKEND,ONBEKEND,JA - thuisbatterij + zonnepanelen,NIET,WARM,Google thuisbatterij Rotterdam,Laanweg 16 3208 LC Spijkenisse - regio Rotterdam/ZH - 8.9 klantwaardering - telefonisch bereikbaar 09:00-16:00,2026-03-22
Engie,Nederland (landelijk),engie.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - grote zakelijke batterijprojecten (35MW Lelystad),NIET,WARM,Google zakelijke batterij NL,Groot energiebedrijf - plaatst 35MW batterijopslag in Lelystad 2025 - enterprise level prospect,2026-03-22
AlphaESS,Nederland (landelijk),alphaess.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - zakelijke batterijopslag systemen (UL9540A, CE, UN38.3),NIET,WARM,Google zakelijke batterij NL
SamenStromen,Amersfoort (UT),samenstromen.nl,033-2087 555 / 0318-757 888,ONBEKEND,Hans Drijfhout / Bart Bartelds (Adviseurs),Adviseur,JA - thuisbatterij + zonnepanelen + laadpalen,NIET,WARM-MIDDEL,Google thuisbatterij Amersfoort,Regio Amersfoort, Apeldoorn
Belinus,Nederland (NL),belinus.com,ONBEKEND,info@belinus.com,ONBEKEND,ONBEKEND,JA - batterijopslag residentieel+zakelijk,NIET,WARM-MIDDEL,Google duurzame energie NL,Benelux focus - 40% meer zonnepaneelinstallaties 2025 - actief in NL+BE - potentieel partnership,2026-03-22
Synergroen,Nederland (NL),synergroen.nl,ONBEKEND,info@synergroen.nl,ONBEKEND,ONBEKEND,JA - batterij + zonnepanelen,NIET,WARM,Google zonnepanelen 2026 NL,EPBD richtlijn - batterij verplicht per mei 2026 - goede timing voor Deye conversie,2026-03-22
Aalberts Duurzame Installaties,Achterveld (GE),aalbertsdi.nl,0578-641294,info@aalbertsdi.nl,ONBEKEND,ONBEKEND,JA - zakelijke batterijopslag,NIET,WARM,energieopslag bedrijf NL,Servicegebied: Gelderland + landelijk - PGS 37-1 gecertificeerd - piekafvlakking, congestion management
Soltecs Zonnepanelen,Waardenburg (GE),soltecs.nl,0485-362662,info@soltecs.nl,Patrick (eigenaar),Eigenaar/Adviseur,JA - thuisbatterij,NIET,WARM-MIDDEL,zonnepaneel installateur GE,Sinds 2011 - 93.500+ panelen geïnstalleerd - regio Gelderland/ Brabant/Limburg - groot in de regio - potentieel voor Deye partnership,2026-03-22
Soly,Amsterdam (NH),soly.nl,085 401 7000,info@soly.nl,ONBEKEND,ONBEKEND,JA - zonnepanelen + thuisbatterij,NIET,MIDDEL,zonnepaneel installateur NH,Groot landelijk bedrijf - 8.6★ Google reviews - landelijke dekking - potentieel partnership of concurrent,2026-03-22
Feenstra,Lelystad (FL),feenstra.com,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - energieopslag + zonnepanelen,NIET,MIDDEL,energieopslag installateur FL,Groot landelijk installatiebedrijf - vestiging Lelystad - landelijke dekking - potentieel partnership,2026-03-22
Zwollepanelen,Overijssel (OV),zwollepanelen.nl,ONBEKEND,ONBEKEND,Huib Veurink en Thomas Hoefman (oprichters),Oprichters,JA - thuisbatterijen,WARMMIDDEL,Google thuisbatterij Zwolle OV,Opgericht door Huib Veurink en Thomas Hoefman - persoonlijke aanpak - regio Zwolle/Kampen/Meppel/Dronten - potentieel voor OV dekking,2026-03-22,ONBEKEND
Saman Groep,Zeeland/NB (landelijk),saman-groep.nl,ONBEKEND,info@saman-groep.nl,Daniël Lodders (Algemeen directeur),Algemeen directeur,JA - volledige breedte energietransitie incl batterijen,WARMWarm,MIDDEL,energieopslag bedrijf NL,100+ jaar ervaring - vestigingen door heel NL behalve FR/GN - 30-35% minder zonlicht-panelen maar batterijverkoop stijgt - goede prospect voor zakelijke batterijen,2026-03-22
WaardeVolt,Bovensmilde (DR),waardevolt.nl,0592-820 300,contact@waardevolt.nl,ONBEKEND,ONBEKEND,JA - batterijopslag netcongestie,WARMMIDDEL,zakelijke batterij NL,Kanaalweg 126 9421 SV Boversmilde - KvK 77624076 - gespecialiseerd in batterijopslag voor netcongestie - oplossing voor druk op elektriciteitsnet - goede prospect voor zakelijke batterijen,2026-03-22,ONBEKEND
WattsNext,ONBEKEND (NL),wattsnext.energy,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - slimme energieopslag,WARMMIDDEL,energieopslag bedrijf NL,Slimme energieopslag voor bedrijven en particulieren - kostenbesparing en energiezekerheid - potentieel voor partnership,2026-03-22,ONBEKEND
Bata Energy Solutions,ONBEKEND (NL),bata-energysolutions.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - grote zakelijke batterijen (2MWh+),WARM,zakelijke batterij NL,Voert grote batterijprojecten uit (2.928 zonnepanelen + 2x2MWh batterijen bij Van Tuijl Kesteren) - zakelijke focus - sterke zakelijke batterijervaring,2026-03-22,ONBEKEND
HT Solar Nederland Projects B.V.,Nijverdal (OV),htsolarnederland.nl,0548-226777,info@htsolarnederland.nl,ONBEKEND,ONBEKEND,JA - Deye dealer,JA (Deye dealer),WARM,Deye omvormer NL pagina,Van den Bergsweg 3 7442CK Nijverdal - Groothandel + installateur - KvK 80224954 - potentieel voor Deye wholesale partnership,2026-03-22
Bonk Elektro B.V.,Deventer (GE),bonkelektro.nl,0570-714846 / 06-14980365,info@bonkelektro.nl,ONBEKEND,ONBEKEND,JA - thuisbatterij + dynamische energiehandel,ONBEKEND,WARM-MIDDEL,Google Deventer thuisbatterij,Finsestraat 1 7418AN Deventer - KvK 82311498 - 1200+ woningen - ook actief op EPEX/onbalansmarkt - goede prospect voor Deye omvormers,2026-03-22
Solard,Zwolle (OV),solard.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij,ONBEKEND,MIDDEL,Google Deventer thuisbatterij,Regio Deventer/Apeldoorn - gecertificeerde monteurs - particulier + zakelijk - potentieel voor OV/Gelderland dekking,2026-03-22
Bruens Duurzame Technieken,Apeldoorn (GE),bruensdt.nl,ONBEKEND,ONBEKEND,Jordan Bruens (eigenaar),Eigenaar,JA - thuisbatterij specialist,ONBEKEND,WARM-MIDDEL,Google Apeldoorn thuisbatterij,Lokale specialist Apeldoorn - persoonlijk advies - zonnepanelen + thuisbatterijen + laadpalen - potentieel voor GE dekking,2026-03-22
Nordzon,Zeewolde (FL),nordzon.nl,06 15 53 92 43,info@nordzon.nl,ONBEKEND,ONBEKEND,JA - thuisbatterij specialist FL/GV/OV/DR/Friesland/NH,NIET,WARM-MIDDEL,Google thuisbatterij Flevoland,Levert in FL, Gelderland
Marstek Nederland,Barneveld (GE),marstek.nl,085 401 6430,info@marstek.nl,ONBEKEND,ONBEKEND,JA - Plug & Play thuisbatterij (concurrent),NIET (eigen merk),MIDDEL (CONCURRENT),Google Plug & Play thuisbatterij,Officieel NL/BE distributor Marstek Venus E 3.0 - Barneveld vestiging - 9.3/10 reviews - Concurrent maar nuttig voor marktinzicht,2026-03-22
De Kei Zonnepanelen,Barneveld (GE),dekeizonnepanelen.nl,+31 6 57 59 82 06,info@dekeizonnepanelen.nl,ONBEKEND,ONBEKEND,JA - thuisbatterij installatie,ONBEKEND,WARM,Google thuisbatterij installateur NL + website check 2026-03-22,Thuisbatterij installatie + zonnepanelen - telefonisch bereikbaar - regio Barneveld/Gelderland - 0657598206 bevestigd via website,2026-03-22
Energreen (voormalig Innodura),Rotterdam (ZH),energreen.com/nl-NL/innodura,079-8891883,rotterdam@energreen.com,ONBEKEND,ONBEKEND,JA - thuisbatterij + zonnepanelen,NIET,WARM-MIDDEL,Google thuisbatterij NL,Overgang naar Energreen - Overwegwachter 3 3034 KG Rotterdam - KvK 70261423 - landelijke dekking via dealer netwerk - potentieel voor ZH/Rotterdam dekking,2026-03-22
SolarPro Nederland,Dordrecht (ZH),solarpronederland.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - SolarEdge thuisbatterij specialist,MIDDEL-WARM,Google thuisbatterij Dordrecht,Specialist in zonnepaneel installaties inclusief SolarEdge thuisbatterij - regio Dordrecht/ZH - 4 weken installatie - potentieel voor Zuid-Holland dekking,2026-03-22,ONBEKEND
Solar Outlet,Nederland (landelijk),solar-outlet.nl,036 203 4009,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij + omvormers (Solis/SolarEdge/Deye),NIET,MIDDEL-WARM,Google zonnepaneel installateur NL + thuisbatterij pagina,Groothandel webshop - installateur-partner programma - verkoopt omvormers + thuisbatterijen - btw teruggave mogelijk - potentieel voor Deye wholesale,2026-03-22
Thuisaccu Webshop,Nederland (landelijk),thuisaccuwebshop.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - omvormers specialist (Solis/SMA/GoodWe),NIET,MIDDEL,Google omvormer kopen NL,Webshop gespecialiseerd in omvormers - merken: Solis, SMA
Micro-omvormer.nl,België/Nederland,micro-omvormer.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - Deye micro-omvormers (SUN500G/SUN1200G),JA (Deye dealer),MIDDEL-WARM,Google Deye omvormer pagina,Onafhankelijke vergelijker - Deye SUN500G/SUN1200G micro-omvormers - 96.5% efficiëntie - 10 jaar garantie - potentieel partnership BE/NL markt,2026-03-22
Eigenstroomopslaan.nl,Nederland (webshop),eigenstroomopslaan.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - BYD/Sungrow/LG/SolarEdge/Pylontech/Huawei/BlauHoff,JA (Deye micro-omvormers),WARM,Google Deye micro-omvormer,Verkoopt Deye SUN600 micro-omvormers - NL wholesaler met afhaal Magazijn - merken: BYD Sungrow LG SolarEdge Pylontech Huawei BlauHoff - potentieel voor Deye distributie,2026-03-22
Markhorst B.V.,Eersel (NB),markhorstbv.nl,+31 (0)497 514 064,info@markhorstbv.nl,Kobe Stokmans (contact),Zakelijke energieopslag,JA - Hager/Battiq/Cell Power/Alius Energy,NIET,WARM,Google zakelijke batterij NL,Kerver 4 5521DB Eersel - KvK 17155890 - merkonafhankelijk - werkt met Battiq, Alius Energy
BatterijNet,Nederland (landelijk),batterijnet.nl,085 110 93 50,info@batterijnet.nl,ONBEKEND,ONBEKEND,JA - thuisbatterij,NIET,MIDDEL,thuisbatterij installateur NL,Landelijk netwerk van batterijinstallateurs - aggregator/partner model - potentieel voor partnership,2026-03-22
Octave Energy,Zuid-Holland ( NL),octave.energy,ONBEKEND,info@octave.energy,ONBEKEND,ONBEKEND,JA - BESS/EMS systemen (314Ah LFP, IP54, vloeistofkoeling),NIET,WARM,energieopslag bedrijf NL 2026
ChargeUp Noord,Noord-Brabant (NB),chargeup-noord.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisaccu's + zonnepanelen + laadpalen,NIET,WARM,thuisbatterij installateur NB,Regio Noord-Brabant - eigen monteurs (geen ZZPers) - gecertificeerde installateurs - 4-6 weken levertijd - goede prospect voor NB dekking,2026-03-22
123 Zonen Energie,Nederland (landelijk),123zonenenergie.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - zakelijke batterijen (71-100kWh DH100F),NIET,WARM,energieopslag bedrijf NL,Zakelijke energieopslag systemen - batterijen voor bedrijven - KNX/Homey ondersteuning - potentieel voor zakelijke Deye omvormers,2026-03-22
Batt (Bollenstreek),Zuid-Holland (Leiden),batt.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij specialist,NIET,WARM-MIDDEL,thuisbatterij installateur ZH,Bollenstreek en regio Leiden - eigen installateurs - thuisbatterij focus - potentieel voor ZH/LD dekking,2026-03-22
FDB Techniek,Friesland (FR),fdbtechniek.nl,0518-419424,info@fdbtechniek.nl,ONBEKEND,ONBEKEND,JA - zonnepanelen + thuisbatterij,NIET,MIDDEL-WARM,Google zonnepanelen Friesland,Nij Toerenburg 15A 9076 MA Sint Annaparochie - installatiewerkzaamheden in Noordwest Friesland en heel Noord-Nederland - potentieel voor FR dekking,2026-03-23
MHELIOS by Midea,Nederland (NL),mheliosbymidea.nl,085-800 12 11,info@mheliosbymidea.nl,ONBEKEND,ONBEKEND,JA - Midea thuisbatterij,NIET,WARM-MIDDEL,Solar Magazine 2026,Exclusief importeur Midea thuisbatterij - actief in installateurs netwerk - nieuwe speler met potentieel,2026-03-23
Mobi Solar,Nederland (landelijk),mobisolar.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij + subsidie,NIET,MIDDEL,thuisbatterij NL 2026,Actief in subsidie informatie - thuisbatterijen - regio onbekend maar landelijke content - potentieel voor partnership content,2026-03-22
Verdasol,Nederland (landelijk),verdasol.nl,ONBEKEND,info@verdasol.nl,ONBEKEND,ONBEKEND,JA - thuisbatterij + subsidie,NIET,MIDDEL,thuisbatterij subsidie NL 2026,Kennisbank met subsidie info per provincie (Overijssel, Gelderland
Gaslicht.com,Nederland (landelijk),gaslicht.com,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij,NIET,MIDDEL,thuisbatterij kopen 2026,Groot energieplatform - verkoopt thuisbatterijen - content hub - potentieel voor partnership/affiliate,2026-03-22
P1 Meter,Nederland (landelijk),p1meter.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - plug-in thuisbatterijen (Zendure, Marstek, Indevolt, Jackery),NIET,MIDDEL
Sollit,Nederland (landelijk),sollit.com,ONBEKEND,info@sollit.com,ONBEKEND,ONBEKEND,JA - duurzame energie installaties,NIET,MIDDEL-WARM,energie installateur 2026,Nieuws over Energiewet 2026 - ism wijzigingen voor duurzame installateurs - potentieel voor inhoudelijke samenwerking,2026-03-22
NextGenHome B.V.,Haarlem (NH),nextgenhome.nl,0611704819,ONBEKEND,ONBEKEND,ONBEKEND,JA - slimme thuisbatterijen,NIET,WARM,Trustoo NH thuisbatterij,Conradweg 25A 2031 CM Haarlem - 12 jaar ervaring - 63 reviews - prospect voor NH dekking - belt klanten actief voor thuisbatterij verkoop,2026-03-22
SmartCharged,Beverwijk (NH),smart-charged.nl,ONBEKEND,ONBEKEND,Jens de Jong (Adviseur),Adviseur,JA - thuisbatterijen specialist,NIET,WARM,Trustoo NH thuisbatterij,Flevoland 15A Beverwijk - 2 jaar in bedrijf - 74 reviews - gespecialiseerd in thuisbatterijen en slimme energieoplossingen - KvK 92961746 - prospect voor NH/Noord-Kennemerland dekking,2026-03-22
AddSolar B.V.,Leeuwarden (FR),addsolar.nl,085-301 2819,hallo@addsolar.nl,ONBEKEND,ONBEKEND,JA - zonnepanelen/thuisbatterijen/laadpalen/airco's/hybride warmtepompen,NIET,WARM,Trustoo FR thuisbatterij + Facebook,François Haverschmidtwei 5 Leeuwarden - 8 jaar in bedrijf - 90 reviews (Top Pro) - 085-3012819 / hallo@addsolar.nl - breed dienstenpakket - regio Friesland - goede prospect voor FR dekking,2026-03-22
Elektro Service Eindhoven,Eindhoven (NB),elektroserviceeindhoven.nl,06-28 57 48 49,ONBEKEND,ONBEKEND,ONBEKEND,JA - thuisbatterij specialist,NIET,WARM,Google thuisbatterij installateur NB,Eindhoven - Pisanostraat 53A 5623 CB - KvK 62760750 - 16 jaar ervaring - gecertificeerd - 2 uur service - prospect voor NB dekking,2026-03-22
Thuisbatterij Den Haag,Den Haag,samangroep.nl,0580662414,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Den Haag search,2026-03-23
solvari.nl,Den Haag,solvari.nl,0478234800,info@icharge.nu,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Den Haag search,2026-03-23
thuisbatterij-utrecht.com,Utrecht,thuisbatterij-utrecht.com,ONBEKEND,info@thuisbatterij-utrecht.com,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Utrecht search,2026-03-23
stroomloods.nl,Utrecht,stroomloods.nl,0294700203,info@stroomloods.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Utrecht search,2026-03-23
jp-installaties.nl,Utrecht,jp-installaties.nl,08433532714,info@jp-install.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Utrecht search,2026-03-23
kemkens.nl,Breda,kemkens.nl,+310885050330,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Breda search,2026-03-23
thuisbatterijmh.nl,Maastricht,thuisbatterijmh.nl,0612345678,info@thuisbatterijmh.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Maastricht search,2026-03-23
Thuisbatterij in Maastricht,Maastricht,you-charge.nl,03161592999,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Maastricht search,2026-03-23
sterkstroom.nl,Maastricht,sterkstroom.nl,0814578484,info@sterkstroom.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Maastricht search,2026-03-23
Thuisbatterij Leeuwarden,Leeuwarden,installatieservicevanderveen.nl,058 8811800,info@installatieservicevanderveen.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Leeuwarden search,2026-03-23
jeroen.nl,Leeuwarden,jeroen.nl,085-4011246,info@groenopgewekt.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Leeuwarden search,2026-03-23
energiehuisvanburen.nl,Leeuwarden,energiehuisvanburen.nl,022539426,info@energiehuisvanburen.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Leeuwarden search,2026-03-23
Thuisbatterij Breda,Breda,volters.nl,+31850609498,info@volters.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Breda search,2026-03-23
geldbesparen.nu,Arnhem,geldbesparen.nu,08651410072,info@geldbesparen.nu,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Arnhem search,2026-03-23
Thuisbatterij in Arnhem,Arnhem,energiebesparendirect.nl,0850066840,info@energiebesparendirect.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Arnhem search,2026-03-23
verantwoordduurzaam.nl,Arnhem,verantwoordduurzaam.nl,0552034224,info@petersbv.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Arnhem search,2026-03-23
Louwmans Energy,Leeuwarden,louwmans-energy.nl,02091161812,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Leeuwarden search,2026-03-23
Thuisbatterij eindhoven,Eindhoven,dienstverleningsns.nl,057023965,info@dienstverleningsns.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Eindhoven search,2026-03-23
Thuisbatterij Eindhoven,Eindhoven,prezon.nl,ONBEKEND,info@prezon.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Eindhoven search,2026-03-23
Thuisbatterij,Zwolle,workomy.com,075668579,info@workomy.com,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Zwolle search,2026-03-23
Thuisbatterij Zwolle,Zwolle,batterijadviseurs.nl,+31629332293,info@batterijadviseurs.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Zwolle search,2026-03-23
Thuisbatterij Zwolle,Zwolle,deduurzamebond.nl,+31657323950,info@deduurzamebond.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Zwolle search,2026-03-23
GroenPlan,Haarlem,groenplan.com,081611960,martcornelissen@groenplan.com,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Haarlem search,2026-03-23
vakmanindebuurt.be,Middelburg,vakmanindebuurt.be,05597898987,info@vakmanindebuurt.be,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Middelburg search,2026-03-23
Thuisbatterij Middelburg,Middelburg,novectra.nl,072604939,info@novectra.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Middelburg search,2026-03-23
steenbergen,Maastricht,steenbergen-elektriciens.nl,+31852129778,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Maastricht search,2026-03-23
solarsteijns.nl,Maastricht,solarsteijns.nl,0650692135,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Maastricht search,2026-03-23
hollandgaatduurzaam.nl,Nijmegen,hollandgaatduurzaam.nl,04453924250,hollandgaatduurzaam@gmail.com,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Nijmegen search,2026-03-23
Energieopslag bij u thuis,Nijmegen,batterijencentrum.nl,024-7009830,info@speg.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Nijmegen search,2026-03-23
Thuisbatterij in Nijmegen,Nijmegen,mentingelektro.nl,06386626661,info@mentingelektro.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Nijmegen search,2026-03-23
Thuisbatterij installateur,Nijmegen,nettion.nl,0854011246,info@e2energie.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Nijmegen search,2026-03-23
Thuisbatterij in Groningen,Groningen,groenvolt.nl,0309169259,klantenservice@groenvolt.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Groningen search,2026-03-23
thuisbatterij,Breda,coro-zonnepanelen.nl,0765879002,info@coro-zonnepanelen.nl,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Breda search,2026-03-23
DuurzaamX,Amsterdam,duurzaamx.nl,0718288727,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Amsterdam search,2026-03-23
marktplaats.nl,Zwolle,marktplaats.nl,076419857,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Zwolle search,2026-03-23
thuisbatterij-rotterdam.com,Rotterdam,thuisbatterij-rotterdam.com,052050667,info@thuisbatterijrotterdam.com,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Rotterdam search,2026-03-23
dewarmtemeester.nl,Rotterdam,dewarmtemeester.nl,0103220212,ONBEKEND,ONBEKEND,ONBEKEND,JA - B2B Scrape,ONBEKEND,MIDDEL,AutoScraper DDG,Gevonden via Rotterdam search,2026-03-23
Goforsunpower B.V.,Rhenen/Utrechtse Heuvelrug (Gelderland),goforsunpower.nl,0318-724624,info@goforsunpower.nl,ONBEKEND,ONBEKEND,JA - Enphase batterij-ervaring,NIET - Enphase Platinum dealer,WARM,Website+Search (2026-03-28),Platinum Enphase installateur - breed regionaal netwerk (14 gemeenten Utr/Gel) - batterij-ervaring relevant voor Deye hybride omvormers,2026-03-28
Zonsimpel,Gelderland,zonsimpel.nl,085-782 71 27,info@zonsimpel.nl,ONBEKEND,ONBEKEND,JA - SolarEdge/SunPower/Solarwatt dealer,NIET - multi-merk gecertificeerd,WARM,Website+Search+KvK (2026-03-28),Gecertificeerd multi-merk dealer (SolarEdge+SunPower+Solarwatt) - 12.5 jaar ervaring - totaalinstallateur voor solar/thuisbatterij/warmtepomp/laders - KvK 71318895,2026-03-28
Solar Installatie Groep,Dordrecht (Zuid-Holland),solarinstallatiegroep.nl,+31 85 080 5936,info@solarinstallatiegroep.nl,ONBEKEND,ONBEKEND,JA - multi-energie (thuisbatterij+warmtepomp+airco+zonnepanelen),NIET,WO-MIDDEL,Website+Search (2026-03-28),Multi-energie aannemer - InstallQ gecertificeerd - 10.000+ klanten - Robijn 740 3316 KE Dordrecht,2026-03-28
